DistrictId,WardId,StreetId,Size,Rooms,Toilets,Type,FurnishingSell,Urgent,Price
12,171,1655,39.0,2,0,Chung cư,,1,657000000.0
12,168,1567,64.0,2,2,Chung cư,,0,1870000000.0
12,171,1655,34.0,1,0,Chung cư,,0,620000000.0
12,165,1521,63.0,2,2,Chung cư,,1,2045000000.0
12,165,1521,65.0,2,1,Chung cư,,1,1700000000.0
12,171,1655,36.5,2,1,Chung cư,,1,620000000.0
12,165,1521,65.0,2,2,Chung cư,,1,1700000000.0
14,208,1988,63.0,2,2,Chung cư,Nội thất đầy đủ,0,1850000000.0
7,104,915,60.0,2,2,Chung cư,,1,1530000000.0
12,165,1521,63.0,2,2,Chung cư,Hoàn thiện cơ bản,1,2045000000.0
14,208,1988,62.0,2,2,Chung cư,,0,1650000000.0
13,178,1762,46.0,2,1,Chung cư,,0,2500000000.0
9,133,1165,28.4,2,2,Chung cư,Hoàn thiện cơ bản,0,1600000000.0
12,171,1655,38.2,2,1,Chung cư,,0,660000000.0
12,171,1655,33.9,1,1,Chung cư,Bàn giao thô,0,580000000.0
9,134,1172,86.0,2,2,Chung cư,Nội thất cao cấp,0,8199999.999999999
12,165,1521,63.0,2,2,Chung cư,Hoàn thiện cơ bản,1,2045000000.0
21,306,2732,10.0,1,1,"Căn hộ dịch vụ, mini",Hoàn thiện cơ bản,0,200000000.0
21,306,2732,10.0,1,2,Chung cư,Hoàn thiện cơ bản,0,250000000.0
12,171,1655,33.9,1,1,Chung cư,Nội thất đầy đủ,0,620000000.0
12,167,1550,100.0,3,2,Chung cư,Nội thất đầy đủ,0,2650000000.0
12,167,1550,49.0,2,2,Chung cư,Nội thất đầy đủ,0,1750000000.0
12,169,1621,45.0,1,1,Officetel,,0,1300000000.0
12,171,1655,34.0,1,1,Chung cư,Hoàn thiện cơ bản,0,650000000.0
12,167,1550,100.0,3,2,Chung cư,,0,2650000000.0
9,124,1092,39.0,2,1,Chung cư,Nội thất đầy đủ,0,2250000000.0
12,171,1655,35.0,1,0,Chung cư,Hoàn thiện cơ bản,0,590000000.0
12,165,1521,63.0,2,1,,,1,1900000000.0
6,88,816,58.0,2,1,Chung cư,,0,2100000000.0
21,306,2732,20.0,2,2,"Căn hộ dịch vụ, mini",Hoàn thiện cơ bản,1,400000000.0
18,264,2551,56.0,2,2,,Hoàn thiện cơ bản,0,950000000.0
18,264,2551,80.0,3,2,,Nội thất đầy đủ,0,600000000.0
