price,area,bedroom,toilet,district,province
2560000000.0,59.0,2.0,2.0,Quận 9,Hồ Chí Minh
7500000000.0,92.0,2.0,2.0,Quận 2,Hồ Chí Minh
3500000000.0,115.0,3.0,2.0,Thạch Thất,Hà Nội
3300000000.0,87.5,2.0,2.0,Vân Đồn,Quảng Ninh
5400000000.0,81.3,3.0,2.0,Nam Từ Liêm,Hà Nội
12000000000.0,120.0,5.0,3.0,Văn Giang,Hưng Yên
23000000000.0,135.0,2.0,2.0,Gia Lâm,Hà Nội
9800000000.0,70.0,6.0,2.0,Văn Giang,Hưng Yên
1200000000.0,100.0,2.0,2.0,Thủ Dầu Một,Bình Dương
10700000000.0,80.0,3.0,2.0,Văn Giang,Hưng Yên
3100000000.0,61.0,2.0,2.0,Bình Tân,Hồ Chí Minh
7500000000.0,60.0,2.0,2.0,Văn Giang,Hưng Yên
8600000000.0,84.0,2.0,2.0,Văn Giang,Hưng Yên
4770000000.0,88.3,3.0,2.0,Sơn Trà,Đà Nẵng
3200000000.0,65.51,2.0,2.0,Quận 7,Hồ Chí Minh
7500000000.0,56.0,7.0,7.0,Văn Giang,Hưng Yên
9900000000.0,91.0,3.0,2.0,Văn Giang,Hưng Yên
13000000000.0,84.0,3.0,2.0,Quận 2,Hồ Chí Minh
1500000000.0,80.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
14100000000.0,77.0,2.0,2.0,Quận 2,Hồ Chí Minh
3440000000.0,66.0,2.0,2.0,Quận 7,Hồ Chí Minh
7600000000.0,60.0,7.0,5.0,Văn Giang,Hưng Yên
2900000000.0,55.0,2.0,1.0,Sơn Trà,Đà Nẵng
7640000000.0,65.0,2.0,2.0,Văn Giang,Hưng Yên
3560000000.0,99.0,3.0,2.0,Hà Đông,Hà Nội
14000000000.0,180.0,3.0,4.0,Từ Sơn,Bắc Ninh
16200000000.0,108.0,5.0,5.0,Sơn Trà,Đà Nẵng
2800000000.0,54.0,2.0,2.0,Sơn Trà,Đà Nẵng
3000000000.0,50.0,1.0,1.0,Sơn Trà,Đà Nẵng
29000000000.0,180.0,5.0,4.0,Hà Đông,Hà Nội
2600000000.0,56.0,2.0,1.0,Bình Tân,Hồ Chí Minh
7300000000.0,64.0,2.0,2.0,Văn Giang,Hưng Yên
30000000000.0,180.0,6.0,4.0,Văn Giang,Hưng Yên
12300000000.0,60.0,4.0,5.0,Hà Đông,Hà Nội
12500000000.0,100.0,3.0,2.0,Hà Đông,Hà Nội
2500000000.0,56.0,2.0,1.0,Bình Tân,Hồ Chí Minh
3100000000.0,87.5,2.0,2.0,Vân Đồn,Quảng Ninh
17300000000.0,140.0,3.0,2.0,Văn Giang,Hưng Yên
3600000000.0,80.0,2.0,1.0,Bình Tân,Hồ Chí Minh
15900000000.0,120.0,8.0,4.0,Văn Giang,Hưng Yên
1400000000.0,30.0,1.0,1.0,Quận 9,Hồ Chí Minh
6900000000.0,63.0,6.0,2.0,Văn Giang,Hưng Yên
1800000000.0,37.27,1.0,1.0,Quận 7,Hồ Chí Minh
8500000000.0,234.0,5.0,3.0,Văn Giang,Hưng Yên
8900000000.0,60.0,4.0,3.0,Văn Giang,Hưng Yên
27000000000.0,170.0,3.0,3.0,Hà Đông,Hà Nội
11700000000.0,141.0,3.0,2.0,Tây Hồ,Hà Nội
7500000000.0,32.8,2.0,2.0,Cầu Giấy,Hà Nội
9900000000.0,70.0,2.0,1.0,Thường Tín,Hà Nội
27000000000.0,170.0,4.0,3.0,Hà Đông,Hà Nội
13000000000.0,159.8,3.0,2.0,Tây Hồ,Hà Nội
2800000000.0,99.0,3.0,2.0,Sơn Trà,Đà Nẵng
4790000000.0,80.0,3.0,2.0,Gia Lâm,Hà Nội
8100000000.0,60.0,2.0,1.0,Văn Giang,Hưng Yên
1580000000.0,132.0,2.0,1.0,Yên Thủy,Hòa Bình
2600000000.0,31.35,1.0,1.0,Đống Đa,Hà Nội
3320000000.0,42.0,1.0,1.0,Nam Từ Liêm,Hà Nội
14500000000.0,50.0,1.0,1.0,Hà Đông,Hà Nội
5500000000.0,85.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
8900000000.0,90.0,2.0,1.0,Văn Giang,Hưng Yên
27000000000.0,190.0,3.0,3.0,Hoài Đức,Hà Nội
1800000000.0,28.0,1.0,1.0,Gia Lâm,Hà Nội
2800000000.0,44.0,1.0,1.0,Vũng Tàu,Bà Rịa Vũng Tàu
7500000000.0,60.0,1.0,1.0,Văn Giang,Hưng Yên
22000000000.0,140.0,3.0,2.0,Văn Giang,Hưng Yên
19700000000.0,240.0,3.0,3.0,Hoài Đức,Hà Nội
12800000000.0,119.0,5.0,5.0,Văn Giang,Hưng Yên
8600000000.0,70.0,2.0,1.0,Văn Giang,Hưng Yên
3600000000.0,60.0,2.0,2.0,Quận 7,Hồ Chí Minh
11000000000.0,60.0,1.0,1.0,Hà Đông,Hà Nội
9530000000.0,78.0,6.0,6.0,Văn Giang,Hưng Yên
7800000000.0,236.0,4.0,4.0,Văn Giang,Hưng Yên
5040000000.0,80.0,1.0,1.0,Long Biên,Hà Nội
16000000000.0,69.0,2.0,2.0,Quận 2,Hồ Chí Minh
3700000000.0,68.0,2.0,2.0,Quận 7,Hồ Chí Minh
18500000000.0,55.8,11.0,2.0,Đống Đa,Hà Nội
1600000000.0,65.0,1.0,1.0,Thạch Thất,Hà Nội
8500000000.0,125.0,3.0,2.0,Quận 12,Hồ Chí Minh
2300000000.0,73.0,2.0,2.0,Thuận An,Bình Dương
24140000000.0,162.0,3.0,3.0,Văn Giang,Hưng Yên
20500000000.0,150.0,4.0,4.0,Hải Châu,Đà Nẵng
9000000000.0,70.0,8.0,7.0,Văn Giang,Hưng Yên
11000000000.0,104.0,8.0,7.0,Văn Giang,Hưng Yên
6000000000.0,83.0,2.0,2.0,Quận 9,Hồ Chí Minh
1950000000.0,63.0,2.0,2.0,Thuận An,Bình Dương
2400000000.0,59.0,2.0,1.0,Gia Lâm,Hà Nội
11000000000.0,137.0,3.0,3.0,Quận 2,Hồ Chí Minh
