DistrictId,WardId,StreetId,Size,Rooms,Toilets,Floors,Type,FurnishingSell,Characteristics,Urgent,Price
1,9,93,30.0,4,4,3,"Nhà ngõ, hẻm",Bàn giao thô,,0,6100000000.0
8,91,839,44.5,2,2,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3500000000.0
17,217,2062,39.0,5,4,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,8300000000.000001
20,260,2538,86.03,2,3,1,Nhà phố liền kề,Nội thất đầy đủ,,1,899000000.0
18,227,2146,45.0,6,0,0,"Nhà ngõ, hẻm",,,0,6500000000.0
16,205,1966,90.0,5,0,0,"Nhà ngõ, hẻm",,,0,7800000000.0
15,184,1810,90.0,10,6,5,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,12200000000.0
14,169,1625,56.0,4,5,5,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5750000000.0
15,181,1787,35.0,2,0,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4950000000.0
20,265,2562,50.0,1,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3200000000.0
18,225,2121,40.0,2,2,2,"Nhà ngõ, hẻm",,,1,3490000000.0
20,253,2495,80.0,2,1,0,"Nhà mặt phố, mặt tiền",,Hẻm xe hơi,0,780000000.0
19,245,2378,55.0,4,3,0,"Nhà ngõ, hẻm",,,0,6680000000.0
16,204,1955,64.8,4,3,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6450000000.0
18,235,2219,88.0,5,2,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,10000000000.0
16,207,1980,75.0,3,4,3,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,12800000000.0
23,305,2725,10.0,1,1,1,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,195000000.0
19,248,2434,10.0,3,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,1120000000.0
12,153,1357,79.99,3,3,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4750000000.0
7,76,606,44.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3000000000.0
16,205,1965,52.0,3,5,4,Nhà phố liền kề,Nội thất cao cấp,,0,6700000000.0
14,167,1557,78.0,3,0,0,"Nhà ngõ, hẻm",,,0,6400000000.0
14,171,1657,89.99,4,4,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,6350000000.0
8,84,740,10.0,3,3,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,890000000.0
7,79,681,74.0,3,0,0,"Nhà ngõ, hẻm",,,0,5250000000.0
9,107,949,130.0,2,0,0,"Nhà mặt phố, mặt tiền",,,0,14500000000.0
14,169,1621,40.0,2,2,0,"Nhà ngõ, hẻm",,,0,3200000000.0
12,147,1272,77.0,4,5,0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,7299000000.0
9,107,959,72.0,4,4,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,6300000000.0
10,116,1036,33.0,5,3,3,"Nhà ngõ, hẻm",,,0,4600000000.0
14,170,1647,54.0,3,0,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3600000000.0
9,110,996,60.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4500000000.0
7,80,812,68.0,6,5,5,"Nhà mặt phố, mặt tiền",,"Hẻm xe hơi,Nhà nở hậu",0,8900000000.0
15,177,1757,77.0,1,1,1,"Nhà ngõ, hẻm",Bàn giao thô,,1,9500000000.0
9,107,955,62.0,3,2,2,"Nhà mặt phố, mặt tiền",,,1,6000000000.0
20,262,2546,88.05,3,2,1,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,715000000.0
15,181,1784,38.0,4,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,4500000000.0
16,204,1955,50.0,4,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,4000000000.0
17,221,2101,16.0,2,2,0,"Nhà mặt phố, mặt tiền",,,0,3450000000.0
16,199,1898,35.0,2,3,0,"Nhà ngõ, hẻm",,,0,2250000000.0
3,26,306,32.0,2,2,0,"Nhà ngõ, hẻm",,,0,3950000000.0
24,310,2749,95.01,4,5,4,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5500000000.0
9,107,944,60.0,3,3,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3500000000.0
13,156,1407,100.0,7,0,4,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,9500000000.0
15,192,1859,70.0,8,6,0,"Nhà ngõ, hẻm",,,0,9000000000.0
20,259,2529,40.02,2,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,425000000.0
20,262,2545,116.0,3,2,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,1150000000.0
23,306,2730,10.0,2,1,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,525000000.0
19,245,2378,116.0,6,3,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,8990000000.0
16,204,1955,133.0,5,0,0,"Nhà ngõ, hẻm",,,0,10900000000.0
8,83,737,22.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,2880000000.0
16,197,1888,40.0,2,3,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,2990000000.0
20,253,2497,60.0,2,1,0,"Nhà mặt phố, mặt tiền",,,0,890000000.0
13,155,1374,70.99,3,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,1150000000.0
6,64,505,54.99,3,3,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,1080000000.0
14,169,1618,80.0,8,6,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,7000000000.0
16,201,1930,10.0,2,3,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,1050000000.0
5,47,400,10.0,2,3,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,1340000000.0
24,310,2748,83.99,2,1,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,3400000000.0
