DistrictId,WardId,StreetId,Size,Type,Characteristics,Urgent,Price
12,169,1618,113.0,Đất thổ cư,Mặt tiền,0,9000000000.0
12,163,1502,80.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,7200000000.0
21,315,239,120.0,Đất nền dự án,"Mặt tiền,Thổ cư toàn bộ",0,4500000000.0
20,292,2645,162.0,Đất thổ cư,,0,2450000000.0
12,167,1550,72.0,Đất thổ cư,Hẻm xe hơi,0,3200000000.0
12,169,1621,68.0,Đất thổ cư,Hẻm xe hơi,0,4400000000.0
12,171,1655,60.0,Đất thổ cư,Hẻm xe hơi,0,2200000000.0
14,210,2005,110.0,Đất thổ cư,Hẻm xe hơi,0,7800000000.0
14,211,2017,50.4,Đất thổ cư,"Hẻm xe hơi,Mặt tiền,Thổ cư toàn bộ",0,6900000000.0
12,171,1655,62.0,Đất thổ cư,Thổ cư toàn bộ,0,3600000000.0
12,170,1632,120.0,Đất thổ cư,,0,13000000000.0
12,169,1618,60.0,Đất thổ cư,Mặt tiền,0,9900000000.0
12,169,1621,73.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,7700000000.0
12,165,1519,140.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",0,9200000000.0
13,180,1781,48.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,7900000000.0
11,162,1494,75.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",0,2000000000.0
12,171,1663,81.0,Đất thổ cư,"Thổ cư toàn bộ,Mặt tiền,Hẻm xe hơi",0,3200000000.0
12,165,1519,140.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",0,8500000000.0
18,264,2551,85.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,600000000.0
18,264,2551,85.0,Đất thổ cư,Mặt tiền,0,600000000.0
14,209,1996,69.0,Đất thổ cư,Thổ cư toàn bộ,0,4650000000.0
12,169,1621,50.0,Đất thổ cư,Hẻm xe hơi,0,4099999999.9999995
18,265,2561,100.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",1,1450000000.0
12,169,1621,158.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,6300000000.0
12,171,1655,104.8,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,5300000000.0
14,210,2008,110.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,8000000000.0
12,165,1519,82.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,6950000000.0
12,165,1520,60.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",1,3950000000.0
12,167,1550,56.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,3650000000.0
18,264,2551,151.0,Đất thổ cư,Hẻm xe hơi,0,3500000000.0
12,167,1555,64.0,Đất nông nghiệp,"Mặt tiền,Hẻm xe hơi",1,1650000000.0
12,163,1498,56.0,Đất nông nghiệp,"Mặt tiền,Không có thổ cư",0,2500000000.0
12,163,1502,80.0,Đất nền dự án,,0,7200000000.0
12,171,1655,62.0,Đất thổ cư,Thổ cư toàn bộ,0,3600000000.0
14,210,2002,70.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,3700000000.0
12,171,1655,62.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,3600000000.0
12,167,1555,177.82,Đất thổ cư,,0,8000000000.0
14,210,2008,93.0,Đất thổ cư,Mặt tiền,0,8600000000.0
12,167,1555,64.0,Đất nông nghiệp,"Mặt tiền,Hẻm xe hơi",0,1650000000.0
18,264,2551,80.0,Đất thổ cư,,1,550000000.0
18,264,2551,132.0,Đất thổ cư,Hẻm xe hơi,1,1400000000.0
12,167,1566,84.0,Đất thổ cư,Hẻm xe hơi,0,6100000000.0
12,170,1635,126.0,Đất thổ cư,Mặt tiền,0,12900000000.0
12,171,1655,80.0,Đất thổ cư,,1,3480000000.0
18,264,2551,91.97,Đất thổ cư,Mặt tiền,1,790000000.0
12,167,1556,160.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",1,7999000000.0
12,169,1621,100.0,Đất thổ cư,Mặt tiền,0,9200000000.0
12,165,1519,100.0,Đất thổ cư,,0,5350000000.0
12,169,1618,65.0,Đất thổ cư,Hẻm xe hơi,0,4500000000.0
12,167,1552,46.0,Đất thổ cư,Mặt tiền,0,2880000000.0
12,165,1522,46.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,2880000000.0
14,207,1979,80.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,6300000000.0
12,170,1635,126.0,Đất thổ cư,Mặt tiền,0,13000000000.0
18,264,2551,85.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",0,600000000.0
18,264,2551,85.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",0,600000000.0
18,264,2551,85.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",0,600000000.0
18,264,2551,85.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",0,600000000.0
18,264,2551,85.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",0,600000000.0
18,264,2551,85.0,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",0,600000000.0
18,264,2551,206.0,Đất thổ cư,Hẻm xe hơi,0,3000000000.0
16,250,2482,62.0,Đất thổ cư,"Nở hậu,Hẻm xe hơi",0,7790000000.0
14,207,1979,42.0,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi",0,2180000000.0
12,167,1550,60.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,3300000000.0
