DistrictId,WardId,StreetId,Size,Rooms,Toilets,Type,FurnishingSell,Urgent,Price
9,102,902,90.0,3,0,Chung cư,,0,2850000000.0
14,166,1526,72.0,2,1,Chung cư,Nội thất đầy đủ,0,2150000000.0
20,260,2536,50.0,2,2,Chung cư,,0,1420000000.0
23,295,2656,51.34,2,1,Chung cư,Bàn giao thô,0,2000000000.0
2,13,148,69.0,2,2,Chung cư,,1,4250000000.0
9,102,902,30.0,1,1,Chung cư,Nội thất đầy đủ,1,1350000000.0
2,13,148,45.0,1,1,Officetel,Nội thất đầy đủ,0,2300000000.0
2,13,148,72.0,2,2,Chung cư,,0,3950000000.0
24,312,2756,85.0,2,2,Chung cư,Nội thất đầy đủ,0,2339000000.0
7,82,732,71.01,2,2,Chung cư,,0,4200000000.0
7,82,732,72.0,2,2,Chung cư,,0,4200000000.0
9,102,902,60.0,2,0,Chung cư,Nội thất đầy đủ,1,2200000000.0
5,51,431,78.0,4,3,Chung cư,Hoàn thiện cơ bản,1,3200000000.0
24,312,2756,88.0,2,2,Chung cư,,0,3050000000.0
8,98,880,73.0,2,2,Chung cư,Nội thất đầy đủ,0,2600000000.0
8,98,880,73.0,2,2,Chung cư,,0,2250000000.0
9,102,902,60.0,2,2,Chung cư,,0,450000000.0
24,312,2756,33.0,1,0,Officetel,Hoàn thiện cơ bản,0,1650000000.0
2,13,148,68.5,2,2,Chung cư,,0,4099999999.9999995
24,312,2756,27.0,2,0,Chung cư,,0,1600000000.0
12,147,1272,70.0,2,2,Chung cư,Hoàn thiện cơ bản,0,2100000000.0
20,260,2539,53.0,1,1,Chung cư,,0,1900000000.0
13,157,1425,69.0,2,2,Chung cư,Hoàn thiện cơ bản,0,2150000000.0
13,157,1425,57.0,2,2,Chung cư,,0,1870000000.0
14,166,1537,56.0,2,1,Chung cư,,0,1850000000.0
20,260,2539,53.0,1,0,Chung cư,,0,1900000000.0
20,260,2539,52.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1880000000.0
20,260,2539,80.0,3,2,Chung cư,Hoàn thiện cơ bản,0,2700000000.0
9,107,944,55.0,1,1,Chung cư,Nội thất đầy đủ,0,2100000000.0
