title,price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
Căn hộ cao cấp Wiew đẹp hót nhất Phú mỹ Hưng - 120708557,"18,6 tỷ","Đường Tôn Dật Tiên, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","128,28 triệu/m²",3 phòng,4 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Bàn giao thô,145 m²,
"Chủ nhà gửi bán lỗ căn hộ 3PN Vinhomes Grand Park, giá chỉ 2,85 tỷ - 117402541","2,85 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","31,67 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,90 m²,
"Võ Văn Kiệt - Chung cư Lê Thành Khu B, 72m2, 2PN, 1wc, đã có sổ - 120654322","2,15 tỷ","113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","29,86 triệu/m²",2 phòng,1 phòng,Bắc,Đã bàn giao,Nam,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,72 m²,
❤️‍🔥Masteri Centre Point giá cực mềm - 120633670,"4,2 tỷ","Long Thạnh Mỹ, Phường Long Bình, Quận 9, Tp Hồ Chí Minh","56,76 triệu/m²",2 phòng,2 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,Nội thất cao cấp,74 m²,
CHUYỂN NHƯỢNG 2PN - 3PN GIÁ HOT NHẤT THỊ TRƯỜNG TRONG T11/2024 - 110043730,"1,42 tỷ","13E, Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","28,40 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,50 m²,
Trả 350 tr sang hợp đồng mua căn hộ 9X An Sương Hóc Môn - 120291861,2 tỷ,"380 Đường Song Hành, TT. Hóc Môn, Hóc Môn, Tp. HCM, Đường Song Hành Quốc Lộ 22, Thị trấn Hóc Môn, Huyện Hóc Môn, Tp Hồ Chí Minh","38,96 triệu/m²",2 phòng,1 phòng,Tây Bắc,Chưa bàn giao,Đông Nam,Hợp đồng đặt cọc,Chung cư,Bàn giao thô,51.34 m²,
"Bán căn duplex 120m2(3pn+3wc) có sân vườn 20m2 , view 360 độ .Q9 kế Q2 - 115398791","3,5 tỷ","D7, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh","30,43 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,,Sổ hồng riêng,Duplex,Hoàn thiện cơ bản,115 m²,
"sổ sẵn-BÁN GẤP TRONG TUẦN Dlusso, quận 2 nội thất cơ bản 2pn 2wc 68.5m - 119856617","4,25 tỷ","Nguyễn Thị Định, Phường An Phú, Quận 2, Tp Hồ Chí Minh","61,59 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Tây Nam,Sổ hồng riêng,Chung cư,,69 m²,
"CẦN BÁN GẤP CH VINHOMES Q9 STUIDO,1PN VIEW HỒ BƠI GIÁ TỐT VAY 70% - 119269431","1,35 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",45 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,30 m²,
SỔ SẴN TẠI Q2-THIỆN CHÍ BÁN officetel 1 Phòng ngủ 45m  tại Centana - 119504472,"2,3 tỷ","Nguyễn Thị Định, Phường An Phú, Quận 2, Tp Hồ Chí Minh","51,11 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Officetel,Nội thất đầy đủ,45 m²,
"Giỏ hàng nhiều căn Preica 2PN, An Phú, Quận 2 - 117420731","3,95 tỷ","Nguyễn Thị Định, Phường An Phú, Quận 2, Tp Hồ Chí Minh","54,86 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,72 m²,
Bán căn 2pn lớn 84m2 full nội thất tầng thấp The Park Residence Nhà Be - 120737621,"2,339 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","27,52 triệu/m²",2 phòng,2 phòng,Đông Bắc,Chưa bàn giao,Tây Nam,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,85 m²,
"RẺ HƠN 350 TRIỆU - CC HOÀNG KIM THẾ GIA - 145M - CHỈ 3,x TỶ FULL NT - 120737569","3,85 tỷ","Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","26,55 triệu/m²",4 phòng,4 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,145 m²,
BÁN ECO GREEN 2PN 4.2TỶ 65M2 CÓ BAN CÔNG NGẮM VIEW ĐA DẠNG SẴN NT - 119037340,"4,2 tỷ","Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","59,15 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,,
"Bán căn hộ có sổ 72m2, 2pn-2wc giá 1.920 tỷ, tầng đẹp view mát - 117358242","1,92 tỷ","15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","26,67 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,72 m²,
"GIÁ TỐT THỊ TRƯỜNG! CĂN 2PN 4.2TỶ Ở ECO GREEN T.KẾ TINH TẾ, RỘNG RÃI - 119862852","4,2 tỷ","Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","58,33 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,,
"Bán căn hộ Him Lam Chợ Lớn 96,6m2 sổ hồng lô B - 120737460","4,05 tỷ","11, Phường 11, Quận 6, Tp Hồ Chí Minh","41,93 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,96.6 m²,
cần bán căn hộ vinhome beverly - 120737359,"3,4 tỷ",Nguyễn Xiển,"56,67 triệu/m²",2 phòng,,,Đã bàn giao,Tây Nam,Sổ hồng riêng,Chung cư,,60 m²,
"Chung cư Him lam 6A, đường 14, KDC Himlam  92m giá 3.4tỷ, căn góc - 119784366","3,4 tỷ","Đường số 14, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","36,88 triệu/m²",2 phòng,2 phòng,Đông Nam,Đã bàn giao,Tây,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,92.2 m²,Căn góc
"bán nhanh căn 2 phòng ngủ, dự án Vinhomes Granpark, bán gấp trả nợ - 119093971","2,2 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","36,67 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,60 m²,
Chính chủ cần bán gấp căn chung cư Gò Dầu 2 - 120613968,"2,4 tỷ","Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","44,44 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,54 m²,
