DistrictId,WardId,StreetId,Size,Type,Characteristics,Urgent,Price
14,166,1546,57.0,Đất thổ cư,,1,3710000000.0
14,166,1536,58.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",1,3790000000.0
14,166,1546,44.6,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",1,2900000000.0
12,152,1321,100.0,Đất thổ cư,Mặt tiền,1,620000000.0
24,310,2748,89.0,Đất thổ cư,Hẻm xe hơi,0,3050000000.0
22,286,2617,116.0,Đất thổ cư,Thổ cư toàn bộ,0,950000000.0
23,302,2700,89.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",0,1050000000.0
22,283,2608,125.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,700000000.0
8,98,875,54.0,Đất thổ cư,Mặt tiền,1,5100000000.0
23,299,2679,72.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",1,980000000.0
23,302,2704,180.0,Đất thổ cư,"Thổ cư toàn bộ,Mặt tiền",0,1100000000.0
8,86,759,113.0,Đất thổ cư,Mặt tiền,0,11800000000.0
12,153,1362,52.0,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi",0,1900000000.0
14,166,1546,60.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Nở hậu",0,3900000000.0
14,166,1546,68.0,Đất thổ cư,"Nở hậu,Mặt tiền,Hẻm xe hơi",1,4556000000.0
9,102,902,69.2,Đất thổ cư,Mặt tiền,0,3950000000.0
24,309,2747,92.0,Đất thổ cư,Hẻm xe hơi,0,3760000000.0
23,306,2733,100.0,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi,Mặt tiền",1,1200000000.0
20,264,2552,180.0,Đất thổ cư,Mặt tiền,0,5500000000.0
7,76,615,90.0,Đất thổ cư,Hẻm xe hơi,0,6350000000.0
23,302,2708,80.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu",0,3650000000.0
22,288,2627,195.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,1200000000.0
12,153,1362,32.0,Đất nông nghiệp,Không có thổ cư,0,280000000.0
7,81,723,120.0,Đất thổ cư,Mặt tiền,0,13800000000.0
12,143,1227,63.0,Đất thổ cư,Hẻm xe hơi,0,4750000000.0
23,306,2733,80.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,2450000000.0
12,145,1255,82.4,Đất thổ cư,Nở hậu,0,4300000000.0
