title,price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
Đất mặt tiền 230m2 nằm Khu Dân Cư Xuyên Á chỉ 763 triệu - 118562235,763 triệu,"Đường số 80, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","3,32 triệu/m²",,Đã có sổ,Đất thổ cư,,230 m²,10 m,23 m
PTY 7244 x 13000 x 1040 Mua bán Chủ ngộp cần bán gắp lô đất 57m2 kế bê - 119642896,"3,71 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,09 triệu/m²",,Không có sổ,Đất thổ cư,,57 m²,4 m,14.25 m
Chính chủ bán gấp 2 lô đất 116m² đường lớn thông 2chiều gần UBND Quận - 119659019,"3,79 tỷ","Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,34 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",58 m²,4 m,14.4 m
"Đất 4x13.3=53m2Vườn Lài,Quận 12,Ngộp Chính Chủ,Thổ 100% - 109353611","3,15 tỷ",an phú đông 10,"59,43 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,53 m²,4 m,13.3 m
"CHÍNH CHỦ cần bán gấp 4 lô đất Phường An Lạc, Quận Bình Tân - 119180920","2,9 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,02 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",44.6 m²,4 m,11.15 m
Đất ngộp mặt tiền Hà Huy Giáp-Q12 giá chỉ 620tr dt 100m2 đất thổ cư. - 119674487,620 triệu,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","6,20 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,5 m,20 m
"Đất đẹp,đường xe tải thông gần nguyễnThị thử. - 118483495","3,15 tỷ","Xts30, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh","25,20 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",125 m²,5 m,25 m
"BÁN ĐẤT 89 M2 KDC HIỆN HỮU HẺM Ô TÔ LÊ VĂN LƯƠNG, NHƠN ĐỨC, NHÀ BÈ. - 118655397","3,05 tỷ","Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","34,27 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,89 m²,4 m,22 m
116m2 thổ cư Đường Nguyễn Văn khạ Xã tân Thông Hôi Huyện Củ Chi 950tr - 118445213,950 triệu,"Đường Nguyễn Văn Khạ, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh","8,19 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,116 m²,5 m,23 m
"ĐẤT 👍MẶT TIỀN BUÔN.BÁN SẦM UẤT. 4,13M×18M.Q12 - 119684117",6 tỷ,"Đường Trần Quang Cơ, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",80 triệu/m²,,Đã có sổ,Đất thổ cư,,75 m²,4.2 m,18 m
