price,rooms,toilets,floors,house_type,furnishing_sell,size,district,province
4500000000.0,4,3,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Quận Bình Tân,Hồ Chí Minh
3550000000.0,2,2,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,31.999278889489815,Quận Gò Vấp,Hồ Chí Minh
1500000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Huyện Bình Chánh,Hồ Chí Minh
6100000000.0,1,0,1.0,"Nhà mặt phố, mặt tiền",,74.29963459196102,Quận Bình Tân,Hồ Chí Minh
15000000000.0,5,5,4.0,"Nhà mặt phố, mặt tiền",,100.0,Thành phố Thủ Đức,Hồ Chí Minh
7200000000.0,2,1,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,50.9987250318742,Quận 7,Hồ Chí Minh
1000000000.0,2,1,0.0,"Nhà ngõ, hẻm",,100.0,Quận Bình Tân,Hồ Chí Minh
4580000000.0,3,4,3.0,Nhà phố liền kề,Hoàn thiện cơ bản,51.998183469573114,Quận 12,Hồ Chí Minh
1320000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,89.97955010224949,Huyện Bình Chánh,Hồ Chí Minh
9900000000.0,3,3,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,80.0,Quận Tân Bình,Hồ Chí Minh
3730000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,44.00141559513979,Quận Bình Tân,Hồ Chí Minh
13700000000.0,4,4,4.0,"Nhà mặt phố, mặt tiền",,92.49881844574978,Quận 7,Hồ Chí Minh
3730000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,44.00141559513979,Quận Bình Tân,Hồ Chí Minh
980000000.0,3,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,64.9867374005305,Quận Bình Tân,Hồ Chí Minh
5700000000.0,2,2,2.0,"Nhà ngõ, hẻm",,34.99938597568464,Quận Phú Nhuận,Hồ Chí Minh
4000000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,59.9970001499925,Quận Bình Tân,Hồ Chí Minh
2600000000.0,2,2,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,20.0,Quận Gò Vấp,Hồ Chí Minh
1800000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,20.0,Quận Tân Bình,Hồ Chí Minh
1650000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,15.0,Quận Bình Thạnh,Hồ Chí Minh
2100000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,20.0,Quận 3,Hồ Chí Minh
3870000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.0258531540848,Thành phố Thủ Đức,Hồ Chí Minh
2100000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,20.0,Quận 3,Hồ Chí Minh
3870000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.0258531540848,Thành phố Thủ Đức,Hồ Chí Minh
5950000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,56.0,Quận 12,Hồ Chí Minh
7250000000.0,5,5,4.0,"Nhà mặt phố, mặt tiền",,76.0037739805011,Quận Bình Tân,Hồ Chí Minh
3680000000.0,4,5,3.0,Nhà phố liền kề,Nội thất đầy đủ,64.0,Quận Phú Nhuận,Hồ Chí Minh
8300000000.000001,4,4,4.0,"Nhà mặt phố, mặt tiền",,54.00130123617437,Quận Bình Tân,Hồ Chí Minh
3000000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,20.0,Quận 1,Hồ Chí Minh
935000000.0,3,2,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,100.0,Huyện Bình Chánh,Hồ Chí Minh
5650000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,54.99853986177358,Quận Gò Vấp,Hồ Chí Minh
4490000000.0,4,3,0.0,Nhà phố liền kề,Nội thất đầy đủ,48.900021781746894,Quận Tân Bình,Hồ Chí Minh
2990000000.0,3,2,0.0,"Nhà ngõ, hẻm",,35.9980736816759,Quận 6,Hồ Chí Minh
6900000000.0,3,3,2.0,Nhà phố liền kề,Nội thất đầy đủ,100.0,Quận Gò Vấp,Hồ Chí Minh
7490000000.0,4,4,4.0,Nhà phố liền kề,Nội thất cao cấp,70.0,Quận Gò Vấp,Hồ Chí Minh
7490000000.0,4,4,4.0,Nhà phố liền kề,Nội thất cao cấp,70.0,Quận Gò Vấp,Hồ Chí Minh
