price,rooms,toilets,floors,house_type,furnishing_sell,size,ward,district
4500000000.0,4,3,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Phường Bình Hưng Hoà A,Quận Bình Tân
3550000000.0,2,2,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,32.0,Phường 4,Quận Gò Vấp
1500000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Xã Vĩnh Lộc B,Huyện Bình Chánh
6100000000.0,1,0,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,74.3,Phường Bình Hưng Hoà A,Quận Bình Tân
15000000000.0,5,5,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức
7200000000.0,2,1,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,51.0,Phường Tân Quy,Quận 7
1000000000.0,2,1,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,100.0,Phường Tân Tạo A,Quận Bình Tân
4580000000.0,3,4,3.0,Nhà phố liền kề,Hoàn thiện cơ bản,52.0,Phường Thạnh Xuân,Quận 12
1320000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,89.98,Xã Tân Kiên,Huyện Bình Chánh
9900000000.0,3,3,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,80.0,Phường 13,Quận Tân Bình
3730000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,44.0,Phường Bình Hưng Hoà A,Quận Bình Tân
13700000000.0,4,4,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,92.5,Phường Phú Mỹ,Quận 7
3730000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,44.0,Phường Bình Hưng Hoà A,Quận Bình Tân
980000000.0,3,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,64.99,Phường Bình Trị Đông A,Quận Bình Tân
5700000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,35.0,Phường 2,Quận Phú Nhuận
4000000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,60.0,Phường Bình Hưng Hòa,Quận Bình Tân
2600000000.0,2,2,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,20.0,Phường 9,Quận Gò Vấp
1800000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,20.0,Phường 9,Quận Tân Bình
1650000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,15.0,Phường 26,Quận Bình Thạnh
2100000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,20.0,Phường 14,Quận 3
3870000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.03,Phường Bình Trưng Tây (Quận 2 cũ),Thành phố Thủ Đức
2100000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,20.0,Phường 14,Quận 3
3870000000.0,2,2,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.03,Phường Bình Trưng Tây (Quận 2 cũ),Thành phố Thủ Đức
5950000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,56.0,Phường Tân Thới Hiệp,Quận 12
7250000000.0,5,5,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,76.0,Phường An Lạc,Quận Bình Tân
3680000000.0,4,5,3.0,Nhà phố liền kề,Nội thất đầy đủ,64.0,Phường 2,Quận Phú Nhuận
8300000000.000001,4,4,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,54.0,Phường Bình Trị Đông B,Quận Bình Tân
3000000000.0,3,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,40.0,Phường 15,Quận Gò Vấp
3000000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,20.0,Phường Tân Định,Quận 1
935000000.0,3,2,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,100.0,Xã Bình Chánh,Huyện Bình Chánh
5650000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,55.0,Phường 9,Quận Gò Vấp
4490000000.0,4,3,0.0,Nhà phố liền kề,Nội thất đầy đủ,48.9,Phường 5,Quận Tân Bình
2990000000.0,3,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,36.0,Phường 11,Quận 6
6900000000.0,3,3,2.0,Nhà phố liền kề,Nội thất đầy đủ,100.0,Phường 16,Quận Gò Vấp
4650000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,58.8,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức
7490000000.0,4,4,4.0,Nhà phố liền kề,Nội thất cao cấp,70.0,Phường 8,Quận Gò Vấp
7490000000.0,4,4,4.0,Nhà phố liền kề,Nội thất cao cấp,70.0,Phường 8,Quận Gò Vấp
3680000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,30.0,Phường 2,Quận 5
5800000000.0,4,0,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,64.0,Phường Bình Trị Đông A,Quận Bình Tân
1990000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,20.0,Phường Bình Hưng Hoà B,Quận Bình Tân
710000000.0,1,1,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,79.95,Xã Vĩnh Lộc A,Huyện Bình Chánh
4800000000.0,6,0,0.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,87.0,Phường Đông Hưng Thuận,Quận 12
5490000000.0,2,1,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,90.0,Phường Tân Chánh Hiệp,Quận 12
