DistrictId,WardId,StreetId,Size,Type,FurnishingSell,Urgent,Price
15,192,1857,230.0,Mặt bằng kinh doanh,,0,600000000.0
14,166,1526,74.0,Shophouse,Nội thất đầy đủ,0,6360000000.0
12,151,1314,120.0,Shophouse,,0,2450000000.0
23,302,2713,300.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,1,9500000.0
14,166,1526,74.0,Shophouse,Nội thất cao cấp,0,6360000000.0
14,166,1526,74.0,Shophouse,Nội thất cao cấp,0,6360000000.0
19,248,2441,40.0,Mặt bằng kinh doanh,,0,149000000.0
14,169,1625,45.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,90000000.0
12,153,1349,116.0,Shophouse,,0,5000000000.0
9,100,893,160.0,Mặt bằng kinh doanh,,0,10500000000.0
14,169,1618,95.0,Mặt bằng kinh doanh,,0,14500000000.0
14,171,1664,48.0,Mặt bằng kinh doanh,,1,130000000.0
18,237,2249,180.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,600000000.0
10,115,1032,24.0,Mặt bằng kinh doanh,,0,989000000.0
14,170,1632,400.0,Mặt bằng kinh doanh,,0,9500000000.0
15,185,1813,75.0,Mặt bằng kinh doanh,,0,19000000000.0
11,135,1186,51.0,Mặt bằng kinh doanh,,0,16000000000.0
23,301,2694,256.0,Mặt bằng kinh doanh,,0,25500000000.0
16,201,1930,45.0,Mặt bằng kinh doanh,,0,6600000000.0
14,169,1618,85.0,Mặt bằng kinh doanh,,0,6700000000.0
12,153,1363,60.0,Mặt bằng kinh doanh,,0,5400000000.0
18,225,2122,74.0,Mặt bằng kinh doanh,,0,14000000000.0
12,143,1237,60.0,Mặt bằng kinh doanh,,0,7200000000.0
19,250,2481,100.0,Mặt bằng kinh doanh,,0,10000000.0
16,200,1914,300.0,Mặt bằng kinh doanh,,0,25000000.0
18,237,2233,200.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,250000000.0
17,221,2101,16.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,3650000.0
18,239,2279,68.0,Mặt bằng kinh doanh,,0,13500000000.0
12,145,1255,172.0,Mặt bằng kinh doanh,,0,10500000000.0
13,155,1380,20.0,Mặt bằng kinh doanh,,0,150000000.0
5,51,427,40.0,Mặt bằng kinh doanh,,0,60000000.0
12,147,1271,206.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,15000000000.0
14,170,1649,191.0,Mặt bằng kinh doanh,,0,19000000000.0
23,306,2731,339.0,Officetel,,0,15000000000.0
5,45,386,25.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,280000000.0
20,254,2511,100.0,Shophouse,,0,7800000000.0
19,241,2313,285.0,Mặt bằng kinh doanh,,0,26500000000.0
5,48,405,52.5,Mặt bằng kinh doanh,,0,21500000000.0
10,121,1072,42.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,26000000000.0
8,89,832,62.0,Shophouse,Hoàn thiện cơ bản,0,2850000000.0
17,221,2101,16.0,Mặt bằng kinh doanh,,0,3650000000.0
17,218,2071,230.0,Mặt bằng kinh doanh,,1,45600000000.0
7,82,733,200.0,Mặt bằng kinh doanh,,0,252000000.0
14,171,1652,300.0,Mặt bằng kinh doanh,,0,1050000000.0
9,107,561,120.0,Mặt bằng kinh doanh,,0,150000000.0
19,241,2309,200.0,Mặt bằng kinh doanh,,0,600000000.0
18,238,2259,220.0,Mặt bằng kinh doanh,,0,400000000.0
23,306,2734,400.0,Mặt bằng kinh doanh,,0,810000000.0
14,168,1586,230.0,Mặt bằng kinh doanh,,0,280000000.0
16,201,1918,200.0,Mặt bằng kinh doanh,,0,1250000000.0
13,156,1402,90.0,Mặt bằng kinh doanh,,0,10000000000.0
15,192,1857,210.0,Mặt bằng kinh doanh,,0,500000000.0
15,192,1859,300.0,Mặt bằng kinh doanh,,0,1500000000.0
15,192,1857,200.0,Mặt bằng kinh doanh,,0,490000000.0
18,225,2121,72.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,10500000000.0
15,192,1854,160.0,Mặt bằng kinh doanh,,0,490000000.0
3,29,318,54.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,12500000000.0
9,111,1002,190.0,Mặt bằng kinh doanh,,0,17900000000.0
8,88,814,151.0,Shophouse,Hoàn thiện cơ bản,1,5500000000.0
16,199,1898,73.0,Mặt bằng kinh doanh,,0,12000000000.0
13,164,1508,140.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,230000000.0
16,200,1910,150.0,Mặt bằng kinh doanh,,0,12800000000.0
9,102,902,73.0,Shophouse,Nội thất đầy đủ,0,13600000000.0
12,145,1255,150.0,Mặt bằng kinh doanh,,0,13000000000.0
8,88,814,151.0,Shophouse,Hoàn thiện cơ bản,0,5000000000.0
14,166,1546,185.0,Shophouse,Bàn giao thô,0,12000000000.0
17,217,2067,49.5,Mặt bằng kinh doanh,,0,3450000000.0
6,70,552,91.0,Mặt bằng kinh doanh,,0,18000000000.0
15,189,1836,221.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,14000000000.0
13,156,1412,74.0,Văn phòng,Nội thất đầy đủ,0,3150000000.0
12,147,1271,120.0,Mặt bằng kinh doanh,,0,11990000000.0
23,296,2667,100.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,12000000000.0
10,119,1060,67.0,Shophouse,Nội thất cao cấp,0,7900000000.0
9,100,893,100.0,Shophouse,Bàn giao thô,0,26000000000.0
13,156,1393,154.0,Mặt bằng kinh doanh,,0,19500000000.0
8,89,827,57.0,Shophouse,Hoàn thiện cơ bản,0,2836000000.0
3,29,318,55.0,Mặt bằng kinh doanh,,0,11500000000.0
15,190,1837,80.0,Mặt bằng kinh doanh,,0,13500000000.0
2,13,148,72.0,Shophouse,,1,7000000000.0
19,245,2373,302.0,Shophouse,Bàn giao thô,0,2300000000.0
2,13,144,85.0,Shophouse,Bàn giao thô,0,23999000000.0
3,24,278,35.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,4750000000.0
15,176,1751,32.2,Mặt bằng kinh doanh,Nội thất đầy đủ,0,5650000000.0
12,147,1268,32.0,Mặt bằng kinh doanh,Nội thất cao cấp,1,1950000000.0
13,154,1371,263.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,13900000000.0
13,156,1410,120.0,Mặt bằng kinh doanh,Nội thất đầy đủ,1,16899999999.999998
17,218,2071,220.0,Mặt bằng kinh doanh,,0,38000000000.0
17,213,2034,160.0,Mặt bằng kinh doanh,,0,42000000000.0
