title,price,address,price_m2,direction,property_legal_document,commercial_type,furnishing_sell,size
Biệt thự mini 210m2-Q12-Nguyễn Ảnh Thủ - 119986813,"9,699 tỷ","Đường Trần Thị Năm, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","46,19 triệu/m²",Tây,Đã có sổ,Shophouse,Nội thất cao cấp,210 m²
Sang Quán Căn Góc Khu Bàu Cát. Tân Bình - 119996256,10 triệu,"Thành Phố Cf Khu Bầu Cát, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",100.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
8*25 - 119933345,250 triệu,"Tô ký Ấp Mới Trung Chánh Hóc Môn , Xã Trung Chánh, Huyện Hóc Môn, Tp Hồ Chí Minh","1,25 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,200 m²
"Chính chủ bán nhà cư xá sổ hồng, sở hữu riêng - 118823228","5,4 tỷ","G28A, Đường số 50, Phường 6, Quận 4, Tp Hồ Chí Minh","122,73 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,,44 m²
Sang gấp quán Beer Garden 600m² khu sầm uất Tân Phú - 119166256,800 triệu,"Xxx, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","1,33 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,600 m²
"Sang quán Bida khu vực BÌnh Thạnh, DT cao - 120061533",600 triệu,"Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","2,61 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,230 m²
"CHỦ Cần BÁN NHÀ Góc 3 MẶT TIỀN Đường 2,4,5.Lý Phục Man, Q7.Phú Mỹ Hưng - 119311154","9,5 tỷ","70B, Đường số  5, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh","153,23 triệu/m²",Tây,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,62 m²
"ShopHouse The Privia Mặt ngoài - 74m2 -6,36 tỷ -Kế sảnh View công viên - 120115357","6,36 tỷ","An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","85,95 triệu/m²",Tây,Đã có sổ,Shophouse,Nội thất đầy đủ,74 m²
"Sang quán mb 11Tr/Tháng, 600m2 sân vườn Q12 - 120060216","2,499 tỷ","369/1E, Đường An Phú Đông 3, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","4,17 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,600 m²
CẦN BÁN SHOP HOUSE PROSPER PLAZA Q12 - 114475645,"2,45 tỷ","Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","20,42 triệu/m²",,Đã có sổ,Shophouse,,120 m²
Cần bán gấp nhà xưởng Siêu đẹp Lê Minh Xuân Bình Chánh - giá: 120 tỷ - 120113469,120 tỷ,"đường , Xã Lê Minh Xuân, Huyện Bình Chánh, Tp Hồ Chí Minh",10 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,,12000 m²
"Bán Nhà Xưởng Mặt Tiền Trịnh Thị Miếng,300m2, ngộp giảm 4,5tỷ, cực rẻ - 120113383","9,5 triệu","Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",31.666 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,300 m²
"ShopHouse The Privia Mặt ngoài- 74m2 - 6,36 tỷ -Kế Sảnh View công viên - 120112237","6,36 tỷ","An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","85,95 triệu/m²",Tây,Đang chờ sổ,Shophouse,Nội thất cao cấp,74 m²
"ShopHouse The Privia Kế sảnh - 74m2 -6,36 tỷ -Mặt ngoài View công viên - 120111938","6,36 tỷ",", An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","85,95 triệu/m²",Tây,Đang chờ sổ,Shophouse,Nội thất cao cấp,74 m²
cần sang quán góc 2 mặt tiền quân Tân Phú - 120111679,149 triệu,"Đường Phan Đình Phùng, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","3,73 triệu/m²",Tây Nam,Giấy tờ khác,Mặt bằng kinh doanh,,40 m²
Cần Sang Nhanh Sang Gấp Quàn Nhậu Vừa Mới Hoàn Thiện - 119951670,380 triệu,"28, Đường số 1, Khu Phố 4, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",760.000 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Hoàn thiện cơ bản,500 m²
Cần sang quán Cơm Chay An Lạc 677 Tân Kỳ Tân Quý - 120110758,90 triệu,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",2 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,45 m²
Bán nhanh căn Shophouse Picity High Park quận 12 giá CĐT 5 tỷ/ 3 năm - 120110601,5 tỷ,"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","43,10 triệu/m²",,Đang chờ sổ,Shophouse,,116 m²
Bán shophouse Saigon Mia MT đường 9A - 119360865,16 tỷ,"265-197 Đường số 9A, Khu chức năng 6A, Khu dân cư Trung Sơn, Xã Bình Hưng, Huyện Bình Chánh, TP Hồ Chí Minh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","77,34 triệu/m²",Nam,Đang chờ sổ,Shophouse,Hoàn thiện cơ bản,206.88 m²
Bán khách sạn Gia Minh - 117285102,"8,45 tỷ",Ta10,"31,53 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,268 m²
