price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
"2,16 tỷ","- 37,89 triệu/m²","37,89 triệu/m²",2 phòng,1 phòng,Nam,Đã bàn giao,Bắc,,,,,
"2,28 tỷ",- 40 triệu/m²,40 triệu/m²,2 phòng,1 phòng,Đông,Đã bàn giao,Tây,,,,,
"1,80 tỷ","- 36,73 triệu/m²","36,73 triệu/m²",1 phòng,1 phòng,Bắc,Đã bàn giao,Nam,,,,,
"2,38 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","36,62 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,65 m²,
700 triệu,"- 11,67 triệu/m²","11,67 triệu/m²",2 phòng,2 phòng,Bắc,Đã bàn giao,Đông Nam,,,,,
"1,60 tỷ","Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","33,68 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,47.5 m²,
"2,57 tỷ",Đường Xô Viết Nghệ Tĩnh,"50,39 triệu/m²",1 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,,
"2,80 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","37,84 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Đông,,Chung cư,,,
"2,70 tỷ","Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",54 triệu/m²,1 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất cao cấp,50 m²,
"1,53 tỷ","Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","30,60 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,,
"5,70 tỷ","- 54,81 triệu/m²","54,81 triệu/m²",3 phòng,2 phòng,Tây,Đã bàn giao,Đông,Sổ hồng riêng,Chung cư,,,
"3,64 tỷ","196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","39,57 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,92 m²,
"3,50 tỷ","Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","41,18 triệu/m²",3 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Penthouse,Nội thất đầy đủ,,
"3,40 tỷ","- 42,50 triệu/m²","42,50 triệu/m²",2 phòng,2 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,,,
"2,78 tỷ","Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","40,88 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,,
"5,70 tỷ","008D, Đường Tống Văn Trân, Phường 5, Quận 11, Tp Hồ Chí Minh",75 triệu/m²,2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,Căn góc
"5,70 tỷ","- 79,17 triệu/m²","79,17 triệu/m²",3 phòng,2 phòng,Tây Nam,Đã bàn giao,Tây Nam,Sổ hồng riêng,Chung cư,,,
5 tỷ,"Đường Số 6, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","60,98 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,82 m²,
"2,70 tỷ","Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","39,13 triệu/m²",nhiều hơn 10 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Penthouse,,69 m²,
"3,20 tỷ","KĐT Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","54,05 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,59.2 m²,
"3,30 tỷ",Cập nhật 3 ngày trước,"45,83 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,,Chung cư,,72 m²,
"2,50 tỷ","- 36,23 triệu/m²","36,23 triệu/m²",2 phòng,2 phòng,Đông Bắc,Chưa bàn giao,Tây Nam,,,,,
"9,50 tỷ","Đường Song Hành, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","70,37 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,135 m²,
"3,40 tỷ","Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","47,89 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,Nội thất cao cấp,,
"3,05 tỷ","- 38,13 triệu/m²","38,13 triệu/m²",3 phòng,2 phòng,Đông Nam,Đã bàn giao,,,,,,
"3,10 tỷ","An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","60,78 triệu/m²",1 phòng,,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất cao cấp,51 m²,
"2,75 tỷ","Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",55 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,50 m²,
"2,80 tỷ","Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","41,18 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,68 m²,
5 tỷ,"171A, Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","53,19 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,,
"1,81 tỷ","Đường Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","50,28 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,36 m²,
"5,15 tỷ","Khu đô thị Cityland Park Hills - Số 18, Khu đô thị Cityland Park Hills - Số 18 Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","52,55 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,98 m²,
"1,55 tỷ","Long Thạnh Mỹ, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",155 triệu/m²,2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"1,75 tỷ","Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","38,04 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,46 m²,
4 tỷ,"18, 18 Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","53,33 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,75 m²,
