price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
"2,95 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,56 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,45 m²,4 m,11.25 m
"21,50 tỷ","Đường số 49, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","107,50 triệu/m²",Bắc,Đã có sổ,Đất thổ cư,,200 m²,10 m,20 m
"3,65 tỷ","Đường Thới An 10, Phường Thới An, Quận 12, Tp Hồ Chí Minh","57,03 triệu/m²",Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,64 m²,4 m,16 m
630 triệu,"., Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh","7,88 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",80 m²,5 m,16 m
350 triệu,"Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","4,38 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",80 m²,5 m,16 m
"1,10 tỷ","Nguyễn Thị Sáu, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","6,11 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",180 m²,10 m,18 m
"3,60 tỷ","Nguyện Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè, Tp Hồ Chí Minh","11,25 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,320 m²,17 m,19 m
"6,20 tỷ","Hẻm 64 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","88,57 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,70 m²,4 m,18 m
"4,60 tỷ","Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè, Tp Hồ Chí Minh","19,33 triệu/m²",,Đã có sổ,Đất nông nghiệp,Mặt tiền,238 m²,5 m,48 m
490 triệu,"Đường Cây Bài, Xã Phước Vĩnh An, Huyện Củ Chi, Tp Hồ Chí Minh","4,90 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,5 m,20 m
"8,50 tỷ","Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","3,48 triệu/m²",,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,2440 m²,90 m,25 m
"6,35 tỷ","Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","64,73 triệu/m²",Tây,Đang chờ sổ,Đất nền dự án,"Thổ cư toàn bộ,Mặt tiền",,5 m,19.62 m
"1,60 tỷ","Đường Thạnh Lộc 27, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","15,09 triệu/m²",Tây Nam,Sổ chung / công chứng vi bằng,Đất thổ cư,,106 m²,6.5 m,17 m
"2,80 tỷ","Đường Đỗ Quang Cơ, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","21,15 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,"Nở hậu,Thổ cư toàn bộ,Mặt tiền",132.4 m²,4.49 m,27.44 m
