price,address,price_m2,direction,property_legal_document,commercial_type,furnishing_sell,size
750 triệu,"phạm văn sáng, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","6,52 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,115 m²
25 triệu,"Gần Ngay Tô Hiến Thành, Phường 15, Quận 11, Tp Hồ Chí Minh",357.142 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,70 m²
"6,40 tỷ","218 , Nguyễn Duy Cung, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","106,67 triệu/m²",Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,60 m²
90 tỷ,"Đường Hai Bà Trưng, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",400 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,225 m²
"23,50 tỷ","Đường Nguyễn Hoàng, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","293,75 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,,80 m²
120 triệu,"45, Đường Bình Phú, Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,33 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,90 m²
42 tỷ,"Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",84 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,500 m²
"13,60 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","186,30 triệu/m²",Đông Bắc,Đang chờ sổ,Shophouse,Nội thất đầy đủ,73 m²
34 tỷ,"Đường Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","188,89 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,180 m²
75 tỷ,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","197,37 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,380 m²
150 triệu,Đường Thống Nhất,"2,78 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,54 m²
13 tỷ,"Đường Nguyễn Tiểu La, Phường 5, Quận 10, Tp Hồ Chí Minh","241,19 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,Bàn giao thô,53.9 m²
"9,50 tỷ","70B, Đường Số  5, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh","153,23 triệu/m²",Tây,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,62 m²
"1,15 tỷ","ngô viết xuân, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","2,30 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,499 m²
19 triệu,"Đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh",380.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,50 m²
250 triệu,"238, Đường Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",384.615 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,650 m²
"6,05 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","73,78 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,82 m²
690 triệu,"Đường Lê Thị Chợ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","16,05 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,43 m²
"31,97 tỷ","444, Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp Hồ Chí Minh",498 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,64.2 m²
75 tỷ,"116-118, Đường Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh","441,18 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,170 m²
250 triệu,"317/42, Đường Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","1,67 triệu/m²",Đông,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất cao cấp,150 m²
30 tỷ,"Đường Cộng Hòa, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","65,01 triệu/m²",Tây Nam,Đã có sổ,Shophouse,Nội thất đầy đủ,461.5 m²
25 triệu,"Gần Ngay Tô Hiến Thành, Phường 15, Quận 11, Tp Hồ Chí Minh",357.142 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,70 m²
750 triệu,"phạm văn sáng, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","6,52 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,115 m²
30 tỷ,"Đường Cộng Hòa, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","65,01 triệu/m²",Tây Nam,Đã có sổ,Shophouse,Nội thất đầy đủ,461.5 m²
18 triệu,"Aoen, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",180.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
800 triệu,"Kênh Tân Hóa, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",1 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,800 m²
350 triệu,"4D4, Đường Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","2,92 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,120 m²
"9,50 tỷ","Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","57,58 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,165 m²
"24,90 tỷ","170 , Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","120,29 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,207 m²
"19,50 tỷ","Đường Đặng Văn Bi, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","137,32 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,142 m²
"18,50 tỷ","Đường Hàn Thuyên, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","136,03 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,136 m²
"12,50 tỷ","Đường Hiệp Bình, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","148,81 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,84 m²
145 tỷ,"Đường Einstein, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","89,88 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,1613.3 m²
"9,80 tỷ","Đường Hoàng Hữu Nam, Phường Tân Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","106,52 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,92 m²
"24,50 tỷ","Đường Quốc Lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","96,08 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,255 m²
20 tỷ,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","149,93 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,133.4 m²
400 triệu,"Cộng Hoà, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",2 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
180 triệu,"Đường số 41, Phường 6, Quận 4, Tp Hồ Chí Minh","1,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,120 m²
25 triệu,"Nguyễn Oanh, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",83.333 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,300 m²
18 triệu,"Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",180.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
72 tỷ,"Mt Nguyễn Văn Tăng, Đường Nguyễn Văn Tăng, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","229,81 triệu/m²",Tây Nam,Đã có sổ,Văn phòng,Nội thất đầy đủ,313.3 m²
"6,20 tỷ","Đường Liên Ấp 1-2-3, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","38,75 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,160 m²
"1,98 tỷ","Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","10,82 triệu/m²",Đông Nam,Đã có sổ,Shophouse,Nội thất cao cấp,183 m²
30 tỷ,"Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",200 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,150 m²
"3,10 tỷ","Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","45,59 triệu/m²",,Giấy tờ khác,Shophouse,Nội thất đầy đủ,68 m²
250 triệu,"Cửu Long, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","2,50 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,100 m²
7 tỷ,"Đường Tỉnh Lộ 2, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","19,44 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,360 m²
79 tỷ,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh","282,14 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,280 m²
