ward,district,Size,Rooms,Toilets,Floors,Type,FurnishingSell,Characteristics,Urgent,Price
Phường Phạm Ngũ Lão,Quận 1,30.0,4,4,3,"Nhà ngõ, hẻm",Bàn giao thô,,0,6100000000.0
Phường 9,Quận 8,44.5,2,2,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3500000000.0
Phường 7,Quận Phú Nhuận,39.0,5,4,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,8300000000.000001
Xã Phong Phú,Huyện Bình Chánh,86.03,2,3,1,Nhà phố liền kề,Nội thất đầy đủ,,1,899000000.0
Phường 2,Quận Tân Bình,45.0,6,0,0,"Nhà ngõ, hẻm",,,0,6500000000.0
Phường Phước Long A (Quận 9 cũ),Thành phố Thủ Đức,64.0,3,0,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6200000000.0
Phường 11,Quận Gò Vấp,90.0,5,0,0,"Nhà ngõ, hẻm",,,0,7800000000.0
Phường 13,Quận Bình Thạnh,90.0,10,6,5,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,12200000000.0
Phường Bình Hưng Hoà A,Quận Bình Tân,56.0,4,5,5,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5750000000.0
Phường 7,Quận Bình Thạnh,35.0,2,0,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4950000000.0
Xã Vĩnh Lộc A,Huyện Bình Chánh,50.0,1,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3200000000.0
Xã Tân Kiên,Huyện Bình Chánh,93.4,2,2,0,"Nhà mặt phố, mặt tiền",,Hẻm xe hơi,0,830000000.0
Phường 15,Quận Tân Bình,40.0,2,2,2,"Nhà ngõ, hẻm",,,1,3490000000.0
Phường 11,Quận 10,48.0,4,3,3,"Nhà ngõ, hẻm",Nội thất cao cấp,"Hẻm xe hơi,Nhà nở hậu",0,6600000000.0
Xã Bình Chánh,Huyện Bình Chánh,80.0,2,1,0,"Nhà mặt phố, mặt tiền",,Hẻm xe hơi,0,780000000.0
Phường Sơn Kỳ,Quận Tân Phú,55.0,4,3,0,"Nhà ngõ, hẻm",,,0,6680000000.0
Phường 10,Quận Gò Vấp,64.8,4,3,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6450000000.0
Phường 10,Quận Tân Bình,88.0,5,2,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,10000000000.0
Phường Tân Thới Hiệp,Quận 12,52.0,5,5,5,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,6300000000.0
Phường 13,Quận Gò Vấp,75.0,3,4,3,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,12800000000.0
Xã Xuân Thới Sơn,Huyện Hóc Môn,10.0,1,1,1,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,195000000.0
Phường Tân Thành,Quận Tân Phú,10.0,3,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,1120000000.0
Phường Hiệp Thành,Quận 12,44.0,2,0,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,2590000000.0
Phường Thạnh Xuân,Quận 12,79.99,3,3,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4750000000.0
Xã An Phú Tây,Huyện Bình Chánh,61.0,2,2,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,1350000000.0
Phường 13,Quận 10,25.2,4,3,4,"Nhà ngõ, hẻm",,,0,3600000000.0
Phường Tân Hưng,Quận 7,44.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3000000000.0
Phường 11,Quận Gò Vấp,52.0,3,5,4,Nhà phố liền kề,Nội thất cao cấp,,0,6700000000.0
Phường An Lạc A,Quận Bình Tân,78.0,3,0,0,"Nhà ngõ, hẻm",,,0,6400000000.0
Phường Đông Hưng Thuận,Quận 12,43.0,3,2,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3900000000.0
Phường Bình Trị Đông,Quận Bình Tân,89.99,4,4,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,6350000000.0
Phường 2,Quận 8,10.0,3,3,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,890000000.0
Phường Tân Phú,Quận 7,74.0,3,0,0,"Nhà ngõ, hẻm",,,0,5250000000.0
Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,130.0,2,0,0,"Nhà mặt phố, mặt tiền",,,0,14500000000.0
Phường Bình Hưng Hoà A,Quận Bình Tân,40.0,2,2,0,"Nhà ngõ, hẻm",,,0,3200000000.0
Phường Hiệp Thành,Quận 12,77.0,4,5,0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,7299000000.0
Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,72.0,4,4,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,6300000000.0
Phường Bình Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức,89.0,3,3,2,"Nhà ngõ, hẻm",,,0,4650000000.0
Phường 5,Quận 10,33.0,5,3,3,"Nhà ngõ, hẻm",,,0,4600000000.0
Phường Bình Hưng Hoà B,Quận Bình Tân,54.0,3,0,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3600000000.0
Phường Tăng Nhơn Phú B (Quận 9 cũ),Thành phố Thủ Đức,60.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4500000000.0
Phường Thạnh Xuân,Quận 12,71.0,3,2,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,5000000000.0
Phường Tân Quy,Quận 7,68.0,6,5,5,"Nhà mặt phố, mặt tiền",,"Hẻm xe hơi,Nhà nở hậu",0,8900000000.0
Phường Tân Kiểng,Quận 7,88.0,4,4,3,"Nhà mặt phố, mặt tiền",,,0,12500000000.0
Phường 2,Quận Bình Thạnh,77.0,1,1,1,"Nhà ngõ, hẻm",Bàn giao thô,,1,9500000000.0
Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,62.0,3,2,2,"Nhà mặt phố, mặt tiền",,,1,6000000000.0
Xã Tân Kiên,Huyện Bình Chánh,88.05,3,2,1,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,715000000.0
