price,commercial_type,furnishing_sell,size,ward,district
750000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,115.0,Xã Tân Thông Hội,Huyện Củ Chi
25000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,70.0,Phường 15,Quận 11
6400000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,60.0,Phường 12,Quận Gò Vấp
23500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,80.0,Phường An Phú (Quận 2 cũ),Thành phố Thủ Đức
120000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,90.0,Phường Tam Phú (Quận Thủ Đức cũ),Thành phố Thủ Đức
42000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,500.0,Phường Thạnh Mỹ Lợi (Quận 2 cũ),Thành phố Thủ Đức
13600000000.0,Shophouse,Nội thất đầy đủ,73.0,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức
34000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,180.0,Phường 25,Quận Bình Thạnh
13000000000.0,Mặt bằng kinh doanh,Bàn giao thô,53.9,Phường 5,Quận 10
9500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,62.0,Phường Bình Thuận,Quận 7
1150000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,499.0,Thị trấn Củ Chi,Huyện Củ Chi
19000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,50.0,Phường 5,Quận 8
6050000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,82.0,Phường Bình Hưng Hoà A,Quận Bình Tân
690000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,43.0,Phường Phú Thuận,Quận 7
31970000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,64.2,Phường 4,Quận 3
250000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,150.0,Phường 11,Quận Gò Vấp
30000000000.0,Shophouse,Nội thất đầy đủ,461.5,Phường 13,Quận Tân Bình
25000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,70.0,Phường 15,Quận 11
750000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,115.0,Xã Tân Thông Hội,Huyện Củ Chi
30000000000.0,Shophouse,Nội thất đầy đủ,461.5,Phường 13,Quận Tân Bình
18000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,100.0,Phường Tân Quý,Quận Tân Phú
350000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,120.0,Phường 25,Quận Bình Thạnh
9500000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,165.0,Phường Tân Chánh Hiệp,Quận 12
24900000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,207.0,Phường Tân Thới Nhất,Quận 12
19500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,142.0,Phường Bình Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức
18500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,136.0,Phường Bình Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức
12500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,84.0,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức
9800000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,92.0,Phường Tân Phú (Quận 9 cũ),Thành phố Thủ Đức
24500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,255.0,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức
20000000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,133.4,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức
400000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,200.0,Phường 13,Quận Tân Bình
180000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,120.0,Phường 6,Quận 4
25000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,300.0,Phường 6,Quận Gò Vấp
18000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,100.0,Phường 15,Quận Tân Bình
6200000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,160.0,Xã Vĩnh Lộc B,Huyện Bình Chánh
1980000000.0,Shophouse,Nội thất cao cấp,183.0,Phường 6,Quận 8
30000000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,150.0,Phường Tân Thành,Quận Tân Phú
3100000000.0,Shophouse,Nội thất đầy đủ,68.0,Phường Bình Hưng Hoà B,Quận Bình Tân
250000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,100.0,Phường 2,Quận Tân Bình
7000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,360.0,Xã Tân Phú Trung,Huyện Củ Chi
33000000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,166.0,Phường Tân Thành,Quận Tân Phú
5300000000.0,Shophouse,Hoàn thiện cơ bản,151.0,Phường 6,Quận 8
230000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,56.13,Phường Tân Quý,Quận Tân Phú
100000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200.0,Phường 17,Quận Gò Vấp
5300000000.0,Shophouse,Hoàn thiện cơ bản,150.0,Phường 6,Quận 8
750000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,115.0,Xã Tân Thông Hội,Huyện Củ Chi
5800000000.0,Shophouse,Hoàn thiện cơ bản,146.0,Phường 7,Quận 8
1500000000.0,Shophouse,Hoàn thiện cơ bản,151.0,Phường 6,Quận 8
21500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,109.0,Phường 15,Quận Tân Bình
28000000000.0,Mặt bằng kinh doanh,Bàn giao thô,254.0,Phường 12,Quận Gò Vấp
200000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,100.0,Phường Sơn Kỳ,Quận Tân Phú
14000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,48.0,Phường Tây Thạnh,Quận Tân Phú
120000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,40.0,Phường 11,Quận Bình Thạnh
220000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,70.0,Phường 15,Quận 11
440000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,400.0,Phường Sơn Kỳ,Quận Tân Phú
350000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,200.0,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức
21000000.0,Mặt bằng kinh doanh,Bàn giao thô,80.0,Phường 9,Quận Phú Nhuận
22000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,128.0,Phường Hiệp Tân,Quận Tân Phú
65000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,24.0,Phường 4,Quận 10
31000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,486.0,Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức
7500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,110.0,Phường An Phú Đông,Quận 12
2200000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,75.0,Xã Thới Tam Thôn,Huyện Hóc Môn
15200000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,27.0,Phường 3,Quận 3
12500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,144.0,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức
4099999999.9999995,Mặt bằng kinh doanh,Hoàn thiện cơ bản,88.0,Phường 18,Quận 4
130000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,112.0,Phường 10,Quận Tân Bình
220000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,70.0,Phường 15,Quận 11
19500000000.0,Shophouse,Hoàn thiện cơ bản,280.0,Phường Tân Phong,Quận 7
25000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,70.0,Phường 15,Quận 11
59000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,120.0,Phường Bình Thuận,Quận 7
8500000000.0,Shophouse,Hoàn thiện cơ bản,58.0,Phường An Phú (Quận 2 cũ),Thành phố Thủ Đức
29540000000.0,Shophouse,Hoàn thiện cơ bản,197.77,Phường Long Bình (Quận 9 cũ),Thành phố Thủ Đức
8300000000.000001,Mặt bằng kinh doanh,Hoàn thiện cơ bản,94.08,Phường Tây Thạnh,Quận Tân Phú
250000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,200.0,Phường Bình Hưng Hòa,Quận Bình Tân
16899999999.999998,Mặt bằng kinh doanh,Nội thất đầy đủ,120.0,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức
9500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200.0,Xã Vĩnh Lộc B,Huyện Bình Chánh
3850000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,29.0,Phường 4,Quận Phú Nhuận
2300000000.0,Shophouse,Hoàn thiện cơ bản,50.0,Xã Phú Xuân,Huyện Nhà Bè
10000000000.0,Shophouse,Hoàn thiện cơ bản,82.0,Phường Phú Thuận,Quận 7
18000000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,93.7,Phường Bình Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức
34000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,249.0,Phường Bình Trưng Đông (Quận 2 cũ),Thành phố Thủ Đức
4750000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,52.0,Phường Bình Hưng Hoà A,Quận Bình Tân
16000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,68.0,Phường Tân Định,Quận 1
22000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,128.0,Phường Hiệp Tân,Quận Tân Phú
16000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,140.0,Phường Phú Thọ Hòa,Quận Tân Phú
42000000000.0,Văn phòng,Hoàn thiện cơ bản,137.0,Phường Tân Định,Quận 1
15900000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,77.0,Phường 13,Quận Tân Bình
10000000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,26.0,Phường 13,Quận Tân Bình
20000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,480.0,Xã Đông Thạnh,Huyện Hóc Môn
22000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,62.8,Phường 7,Quận 5
10500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,78.0,Phường 1,Quận Gò Vấp
4590000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,100.0,Xã Thới Tam Thôn,Huyện Hóc Môn
550000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,280.0,Phường 6,Quận Bình Thạnh
39500000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,168.0,Phường Tân Quý,Quận Tân Phú
12000000000.0,Shophouse,Bàn giao thô,185.0,Phường An Lạc,Quận Bình Tân
28400000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,426.0,Phường Hiệp Thành,Quận 12
28000000000.0,Shophouse,Bàn giao thô,274.0,Phường Sơn Kỳ,Quận Tân Phú
35000000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,11.0,Phường 14,Quận Tân Bình
19500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200.0,Phường Phú Trung,Quận Tân Phú
11000000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,100.0,Xã Phong Phú,Huyện Bình Chánh
11500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,105.0,Phường 15,Quận Tân Bình
12990000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,480.0,Phường Hiệp Thành,Quận 12
35000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,200.0,Phường 4,Quận Gò Vấp
120000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,32.0,Phường 11,Quận Bình Thạnh
30000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,245.0,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức
14000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,266.0,Xã Vĩnh Lộc A,Huyện Bình Chánh
200000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,400.0,Xã Long Thới,Huyện Nhà Bè
140000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,300.0,Xã Thới Tam Thôn,Huyện Hóc Môn
1000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200.0,Xã Trung Chánh,Huyện Hóc Môn
950000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,132.0,Phường Tân Phong,Quận 7
24500000000.0,Shophouse,Hoàn thiện cơ bản,148.73,Phường Long Bình (Quận 9 cũ),Thành phố Thủ Đức
300000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,500.0,Phường Tân Tạo A,Quận Bình Tân
5500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,142.0,Xã Vĩnh Lộc A,Huyện Bình Chánh
2200000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,280.0,Xã Vĩnh Lộc A,Huyện Bình Chánh
2900000000.0,Shophouse,Hoàn thiện cơ bản,120.0,Phường Tân Tạo A,Quận Bình Tân
170000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,80.0,Phường Tây Thạnh,Quận Tân Phú
7500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,324.0,Xã Xuân Thới Đông,Huyện Hóc Môn
50000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,180.0,Phường Thạnh Lộc,Quận 12
14000000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,50.0,Phường 13,Quận Tân Bình
450000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,180.0,Phường Thạnh Lộc,Quận 12
1200000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,400.0,Phường Bình Hưng Hoà A,Quận Bình Tân
1200000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,238.0,Phường 11,Quận Gò Vấp
430000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,300.0,Phường Tân Tạo A,Quận Bình Tân
1100000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,300.0,Phường An Phú (Quận 2 cũ),Thành phố Thủ Đức
5200000000.0,Shophouse,Hoàn thiện cơ bản,92.25,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức
22000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,75.0,Phường Tân Định,Quận 1
16000000000.0,Shophouse,Hoàn thiện cơ bản,206.88,Xã Bình Hưng,Huyện Bình Chánh
150000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,70.0,Phường 5,Quận Gò Vấp
3450000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,49.5,Phường 7,Quận Phú Nhuận
1400000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,400.0,Phường Phú Trung,Quận Tân Phú
2800000000.0,Shophouse,Hoàn thiện cơ bản,62.0,Phường 7,Quận 8
10000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,160.0,Phường Bình Hưng Hoà A,Quận Bình Tân
450000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200.0,Phường 14,Quận Gò Vấp
280000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200.0,Phường Tân Sơn Nhì,Quận Tân Phú
950000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,400.0,Phường Hiệp Tân,Quận Tân Phú
1400000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,400.0,Phường Hiệp Tân,Quận Tân Phú
17500000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200.0,Phường Bình Trị Đông B,Quận Bình Tân
30000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,240.0,Phường Tân Thới Nhất,Quận 12
5900000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,60.0,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức
360000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,150.0,Phường Tân Thành,Quận Tân Phú
21500000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,140.0,Phường Phú Thạnh,Quận Tân Phú
10500000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,100.0,Xã Phong Phú,Huyện Bình Chánh
36000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,520.0,Phường Bình Trị Đông,Quận Bình Tân
1450000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,220.0,Phường Tân Phú,Quận 7
6800000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,96.0,Phường 4,Quận 3
12600000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,90.0,Phường Bình Trị Đông B,Quận Bình Tân
11000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200.0,Phường An Lạc A,Quận Bình Tân
250000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,100.0,Phường 15,Quận Tân Bình
320000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,300.0,Phường 11,Quận Tân Bình
250000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,100.0,Phường 15,Quận Tân Bình
250000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,200.0,Phường 12,Quận Tân Bình
6400000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,87.0,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức
2400000000.0,Shophouse,Hoàn thiện cơ bản,52.0,Xã Phú Xuân,Huyện Nhà Bè
9900000000.0,Shophouse,Hoàn thiện cơ bản,130.0,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức
2300000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,32.0,Phường Phú Mỹ,Quận 7
6500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,36.0,Phường 15,Quận 10
13900000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,108.0,Phường Bình Trị Đông A,Quận Bình Tân
4480000000.0,Shophouse,Hoàn thiện cơ bản,100.0,Phường Thạnh Xuân,Quận 12
18000000000.0,Shophouse,Bàn giao thô,390.0,Phường Tân Thuận Tây,Quận 7
4800000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,30.0,Phường Cô Giang,Quận 1
5650000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,32.2,Phường 1,Quận Bình Thạnh
3600000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,60.0,Phường Tăng Nhơn Phú B (Quận 9 cũ),Thành phố Thủ Đức
9250000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,36.0,Phường Sơn Kỳ,Quận Tân Phú
5490000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,90.0,Phường Tân Chánh Hiệp,Quận 12
16800000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,77.0,Phường 10,Quận Tân Bình
120000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,180.0,Phường Bình Hưng Hoà B,Quận Bình Tân
130000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,100.0,Phường Bình Trị Đông,Quận Bình Tân
50000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,300.0,Phường Phú Thọ Hòa,Quận Tân Phú
250000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,100.0,Phường 2,Quận Tân Bình
290000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,250.0,Phường 13,Quận Tân Bình
350000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,250.0,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức
250000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,100.0,Phường 15,Quận Tân Bình
30000000000.0,Văn phòng,Nội thất đầy đủ,265.0,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức
7000000000.0,Shophouse,Bàn giao thô,124.0,Phường 6,Quận 8
8800000000.0,Shophouse,Bàn giao thô,74.25,Phường Phú Thuận,Quận 7
7000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,98.0,Phường Thạnh Xuân,Quận 12
7000000000.0,Mặt bằng kinh doanh,Nội thất đầy đủ,72.0,Phường Thạnh Xuân,Quận 12
5300000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,80.0,Phường Hiệp Thành,Quận 12
9500000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,10.0,Phường 2,Quận Bình Thạnh
24000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,265.0,Xã Tân Xuân,Huyện Hóc Môn
33500000000.0,Mặt bằng kinh doanh,Bàn giao thô,165.0,Phường 15,Quận Tân Bình
5200000000.0,Shophouse,Hoàn thiện cơ bản,92.75,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức
13500000000.0,Mặt bằng kinh doanh,Nội thất cao cấp,90.0,Phường 16,Quận Gò Vấp
6500000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,78.0,Phường Tăng Nhơn Phú A (Quận 9 cũ),Thành phố Thủ Đức
999000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,85.0,Xã Phong Phú,Huyện Bình Chánh
8000000000.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,81.0,Phường Cầu Kho,Quận 1
6200000000.0,Shophouse,Nội thất đầy đủ,85.0,Phường An Lạc,Quận Bình Tân
